ID,ProviderId,nameZh,ddesc,departureZh,destinationZh,gxcode,RouteType,MasterRouteName,MasterRouteNo,MasterRouteDesc,routeMapImageUrl,stopAddrUrl,op_type
602,1,BR,桃園  -  捷運迴龍站,桃園,捷運迴龍站,602,RTY,,,FB,http://ebus.tycg.gov.tw/cms/api/route/602/map/1449/image,http://ebus.tycg.gov.tw/cms/api/route/602/stop-address.pdf,6
602,2,BR,桃園  -  捷運迴龍站,桃園,捷運迴龍站,602,RTY,,,FB,http://ebus.tycg.gov.tw/cms/api/route/602/map/1449/image,http://ebus.tycg.gov.tw/cms/api/route/602/stop-address.pdf,6
607,1,GR,桃園後站  -  捷運坑口站,桃園後站,捷運坑口站,607,RTY,,,FB,http://ebus.tycg.gov.tw/cms/api/route/607/map/1230/image,http://ebus.tycg.gov.tw/cms/api/route/607/stop-address.pdf,6
6070,1,GR2,桃園  -  八德,桃園,八德區公所,6070,RTY,,,FB,http://ebus.tycg.gov.tw/cms/api/route/6070/map/1968/image,http://ebus.tycg.gov.tw/cms/api/route/6070/stop-address.pdf,6
3010,1,1,中壢  -  桃園,中壢,桃園,3010,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3010/map/1947/image,http://ebus.tycg.gov.tw/cms/api/route/3010/stop-address.pdf,7
3010,2,1,中壢  -  桃園,中壢,桃園,3010,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3010/map/1947/image,http://ebus.tycg.gov.tw/cms/api/route/3010/stop-address.pdf,7
3020,1,1A,桃園  -  中壢,中壢,桃園,3020,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3020/map/1948/image,http://ebus.tycg.gov.tw/cms/api/route/3020/stop-address.pdf,
3011,1,1B,中壢  -  桃園(延駛榮民醫院),中壢,桃園,3011,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3011/map/1949/image,http://ebus.tycg.gov.tw/cms/api/route/3011/stop-address.pdf,
3420,1,101,桃園  -  果菜市場,桃園,果菜市場,3420,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3420/map/2011/image,http://ebus.tycg.gov.tw/cms/api/route/3420/stop-address.pdf,
3030,1,102,桃園  -  景雲新村,桃園,景雲新村,3030,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3030/map/2088/image,http://ebus.tycg.gov.tw/cms/api/route/3030/stop-address.pdf,7
3060,1,103,桃園  -  八德轉運站,桃園,八德轉運站,3060,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3060/map/1955/image,http://ebus.tycg.gov.tw/cms/api/route/3060/stop-address.pdf,
3080,1,105,桃園  -  大有路,桃園,大有路,3080,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3080/map/1437/image,http://ebus.tycg.gov.tw/cms/api/route/3080/stop-address.pdf,7
3081,1,105A,桃園  -  大有路(繞駛大業路),桃園,大有路,3081,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3081/map/1438/image,http://ebus.tycg.gov.tw/cms/api/route/3081/stop-address.pdf,7
3082,1,105B,桃園  -  大有路(繞駛國稅局),桃園,大有路,3082,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3082/map/1439/image,http://ebus.tycg.gov.tw/cms/api/route/3082/stop-address.pdf,7
1060,3,106,桃園  -  南崁,桃園,南崁,106,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/1060/map/1930/image,http://ebus.tycg.gov.tw/cms/api/route/1060/stop-address.pdf,6
3200,1,107,桃園  -  大湳(經國際路),桃園,大湳,3200,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3200/map/1956/image,http://ebus.tycg.gov.tw/cms/api/route/3200/stop-address.pdf,
3460,1,109,桃園  -  新興高中,桃園,新興高中,3460,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3460/map/1565/image,http://ebus.tycg.gov.tw/cms/api/route/3460/stop-address.pdf,
3480,1,111,中壢  -  南勢,中壢,南勢,3480,RTY,,,RG,http://ebus.tycg.gov.tw/cms/api/route/3480/map/1669/image,http://ebus.tycg.gov.tw/cms/api/route/3480/stop-address.pdf,
